,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
Belgium,0.034235200064068515,0.16824001298058414,0.0888605909310255,0.0019481163545182509,0.04883444415498568,0.11536625066658393,0.03947588862050432,0.11604990901099825,0.30272464525300824,0.0020516964761606504,0.0658452639902609,0.001072234357113319,0.014161881474130921,0.0011338656660573772
Bulgaria,0.11477817797723842,0.4170326712012549,0.018920625747173864,0.011175314494287466,0.05698322104297546,0.044453625260004626,0.02284100035371087,0.18977888889654954,0.05917306885955552,0.030575245003808066,0.016823365519623927,0.007943790364012916,0.0002656436061235254,0.009255361673680575
Czech Republic,0.2507512644137327,0.27314283857369714,0.008268273250971073,0.08671252227452295,0.004192325627484665,0.019293712184590306,0.004249449711779888,0.2389047572131917,0.03166009828604983,0.03662524094606785,0.022465757727848694,0.007355058319687149,0.013618618822637459,0.0027600826477383717
Denmark,0.09268289935385651,0.08147842322734385,0.3655988534024562,0.04351383249748611,0.22006746371025732,0.0023259772771487526,0.03781349295951634,0.020328788145221283,0.04300367372453,0.04220296727903529,0.0014467715588413212,0.04821915603567522,0.0013051796364838243,1.252119214807939e-05
Germany,0.21563669084437231,0.08954798056110409,0.123962982728687,0.0004451334443163976,0.19193300972443392,0.24284598295317575,0.06926827881217021,0.047375715707397605,0.00036132256014774575,0.010909241975976784,0.0002532758092415776,0.005930305230713412,0.0007932834290256772,0.0007367962192376373
Estonia,0.47923156628682023,0.13435343500650065,0.12077785353983704,0.11268030207794419,0.003356420805073166,0.050949139102216344,0.01833694312575552,0.031062473529807753,0.0027694474917472358,0.006151275592861908,0.018841004904101597,0.0015491718303262106,0.014380095865000766,0.005560870842007398
Ireland,0.4210257994070511,0.04588706246535922,0.0693428449501474,0.01786548725133391,0.12769326742671067,0.17552193634178456,0.04249651782315167,0.011423400137020149,0.07033442168633669,0.00540417339297986,0.003466703558856571,0.0014811849993354614,1.809282768794398e-05,0.0080391077322447
Greece,0.12591161892227387,0.19191864199560293,0.04989110805362099,0.0491809327694484,0.009624853598641724,0.04163883201620043,0.04709683698083173,0.20424875813864846,0.06655111617005627,0.11630837042340736,0.042414961708482045,0.03445924362653296,0.020180511906270737,0.0005742136899818987
Spain,0.549910720462028,0.03976540076186751,0.11463245351019181,8.931579469453069e-05,0.024604835647622322,0.10864293514771908,0.017204967941772207,0.11667510400887147,0.002406566107512912,0.012473152695857224,0.0005306760917933008,0.0050683104155623505,0.007733938126610103,0.00026162328789708735
France,0.2072823577527465,0.1875592467675143,0.003282496262424382,0.2298472083705043,0.0018709511275434903,0.18398610970948112,0.00651326239387906,0.01041225675307662,0.07294466299964104,0.0536696341921158,9.57256597985643e-05,0.0003795401538775714,0.0011586868546031124,0.0409978610027941
Croatia,0.5950777149824783,0.014258556135230185,0.05959795186096318,0.14371287267362412,0.06219631996658751,0.003114399263826171,0.0289342247707923,0.010122869558183485,0.0052512004607099426,0.013083361350109131,0.02625354709971603,0.0378800388791846,0.00042922363795539907,8.771936063965633e-05
