,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
bh,0.8256983380724072,2.2505631073911516,-0.9026419557766839,1.9164728871764032,-0.7972483074540839,-1.9304322450307272,-2.0051927948266273,-0.27003895782169257,-1.2594979905656951,0.7569378315915293,0.206792542907951,0.22079244141142557,-0.3247630042947616,0.6229029771935147,-0.01799622819596456,0.266978268839187,0.27574067692067206,-0.14564830115602306,-0.1870836609120062,-0.125165300299176,0.13412034207621054
bn,-1.0915926029290228,0.1621797951495649,0.48542896751669556,1.1357896312371438,0.1047760907600465,0.42852884051647866,-0.17683966697716924,-0.6585423778210483,-0.7937100510979884,-0.9652283228743785,-0.11796811482157266,0.25421387158251935,0.010553363389682824,-0.10272889061909601,-0.12095830471667968,0.25078022396580985,0.48026539162894705,0.14207455633662866,0.19262373666264837,0.061941304691458664,0.15747750627791168
cj,4.915316960478955,0.7765752684985785,-0.8795261999391517,-0.739638848141158,-0.023563640226840474,1.0546309282126112,0.6656586075232249,-2.24936121557597,0.5975387812447291,0.10091965874245055,-0.793843765267101,0.04131021352762303,-0.22067582974867192,-0.5610418554813182,0.02014106665282997,0.4567483198283245,-0.06259819717914433,0.05656759516644113,-0.19593103045856006,-0.14369293478428424,-0.1739900457364442
mm,-0.6374150783073662,0.8385960654273733,-0.4656515453976802,-0.5347308913993091,0.91594727613585,1.0435051042169183,-0.491862867474564,-0.17398635757726647,-0.5476842235010678,-0.21060043484281396,-0.555459136270296,0.0817359330632272,-0.20639542091062738,-0.2585642475514031,-0.15232315659759615,-0.3029827299892439,-0.018120955446156512,0.1557685436196788,0.053047058289837544,-0.018846011023354096,-0.07936978930683956
sm,-1.2209775309628594,0.17649392872830252,-0.7315559818209466,1.2776374621677205,1.2728118992188153,0.5803908685765019,-0.7330678179721695,-0.3373435343766856,0.06515436916800109,-0.6854436024732697,-0.4180375984795618,-0.17773820731182674,0.2647432826723411,-0.11469664814876647,-0.08787452825371787,-0.085961096082405,0.030383247636197222,0.03067505239720522,0.0030495949229347556,0.07161615475487229,0.24891932431960423
sj,-1.2163562295321693,0.046952830293956874,-1.3626516883019246,1.2704040859504664,-0.7447018768522248,-0.6282638895906161,-0.8623241113952044,-0.046923896549641256,0.5059487955859954,-0.33526230055263484,-0.3800247756887231,-0.04320843048574267,0.7090101476411883,-0.036298749615945584,-0.09628078097175101,-0.3439408154693001,-0.23845359116459805,0.3178260698832082,-0.14828533977503477,0.04413993162212936,-0.11560863427735807
ab,0.16597065882026782,1.0425224917371088,-2.366878726776561,0.8870172828423764,-1.3877064580588074,0.9464262123209689,1.3924276993434974,-1.1202029473142103,0.48012424542246984,-0.369021797067202,1.442934134473874,-0.3049666966827339,0.24628897283456072,0.3603218882389655,-0.4259005163412201,0.12901073230618895,0.35539606052462663,0.29652288127804005,0.1403012099658535,0.07610606801042935,-0.04417945870574876
bv,4.117063547703751,0.6283201204453374,0.4474732350016356,0.027317391284781573,-0.18229292120749505,1.9512109837089864,0.8544124327648288,1.7275020085562045,-1.3585343606738223,0.7673336304652959,0.122892804199093,-0.7806399094412131,-0.1767125352250004,0.7242759314443785,-0.09086767012012473,0.25683991407580736,-0.588064255129888,0.061845223334159295,-0.19417388301720848,0.06140189561282845,-0.014213762366132714
cv,-0.6777549698381706,1.9334374954466176,-1.5595723792589438,1.1031887292573281,-1.8191610437259764,-0.28466190754811915,0.15195438563370728,0.5922976587672404,-0.16107524233820514,1.4950457396152126,-0.6621004211685091,0.5425937431860163,0.16816473374788263,0.03789509285362846,-0.08730402947266501,-0.357481984615123,0.005089611713535492,-0.3450696259405829,0.17702280927701103,-0.05619654760195532,-0.1678278985816221
hr,-0.9864886565828156,0.8020024082630214,-1.6033354592297642,0.0067281759860596665,-0.06598207718022941,0.700728781082042,-0.9503340318888852,0.45787970639539577,1.1456077420207187,-0.3564104552937344,-0.47978503082234203,0.20412927175824186,-0.45091667541275565,0.22343467944925663,-0.12611340011932065,-0.11408853878375193,-0.3249619940723904,0.28926723622488804,0.04502125491272319,0.1715696704838159,0.008251026898456847
