,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
bh,0.2636907434973197,1.4737059067673843,-0.6694916041391824,1.4818975742376375,-0.7630016570894023,-1.9622031024393438,-2.2318551784062515,-0.33209397472132113,-1.7368433274069337,1.2056465915827166,0.35240232069666344,0.43535462471327574,-0.7036378085927207,1.477607925736476,-0.04879854429186406,0.779355531235583,0.9647973366249625,-0.6622117524199136,-1.0312740932285722,-0.9970423784201788,1.2167084287952212
bn,-0.34860535838608764,0.1061980094160935,0.3600437760271617,0.878240391834805,0.10027532216224785,0.4355815245578769,-0.19682921637705014,-0.8098755732772038,-1.0945233866758224,-1.5374105890912633,-0.20103354234508158,0.5012544086755565,0.02286512130568699,-0.24368646248055237,-0.32799035030625295,0.7320706495028577,1.680415004022263,0.6459631878931115,1.0618130326972004,0.4934123563352127,1.4285991689844721
cj,1.5697301593939037,0.5085143164736489,-0.6523465951380854,-0.5719199171594719,-0.02255143895827368,1.071987936688413,0.7409031261654101,-2.766264959287289,0.8240038911103338,0.16074430092983616,-1.3528166016858219,0.0814547472376151,-0.47812052235113656,-1.3308651951932353,0.05461448490433695,1.3333269819618918,-0.21902671230961557,0.2571930192664669,-1.0800440550846846,-1.1446299023535487,-1.578397071591923
mm,-0.2035615771101774,0.5491265590169546,-0.3453748167842865,-0.41347645256910287,0.8766017851200368,1.0606790050137895,-0.5474619152188647,-0.2139684640364804,-0.7552546302091626,-0.3354432634450426,-0.9465771150217347,0.16116546489027272,-0.44718031226646265,-0.6133484595231746,-0.41303923371960444,-0.8844587520649737,-0.0634039552915913,0.7082249461446573,0.292414937090771,-0.15012364936243897,-0.7200241972724696
sm,-0.38992505868999905,0.11557114058311778,-0.5425967457556234,0.9879231105277846,1.2181369081463964,0.5899428824191393,-0.8159321187894145,-0.41486515901778037,0.08984764738689609,-1.0917709599829233,-0.7123923221362608,-0.3504610486065603,0.573597918468985,-0.27207556002316974,-0.23828043367872373,-0.25093523901471315,0.10630885774554412,0.13946870675659723,0.016810491218381796,0.5704803256128611,2.258137992353016
sj,-0.388449223806973,0.030745489036235533,-1.01068187540567,0.982329959306277,-0.7127124143923761,-0.6386037927405702,-0.9597992464601685,-0.05770701916599768,0.6977016209675924,-0.5340040265890549,-0.647613356805362,-0.08519761780937819,1.5361551037489711,-0.08610541623753132,-0.26107481543042477,-1.0040224551577113,-0.8343324323180934,1.4450436910804274,-0.8174034470466993,0.3516100892390992,-1.0487745377717426
ab,0.053003529745773284,0.6826609522590938,-1.7555193678417726,0.6858791316832162,-1.3280960488128928,0.9620023985957418,1.549824525279518,-1.3776258517252749,0.6620896565414646,-0.5877759748357911,2.4589539373640226,-0.6013279301394079,0.5336144537219928,0.8547309892096167,-1.154871175464713,0.37660453882163863,1.2435059508460136,1.3481855626546915,0.7733919807912075,0.6062460991980372,-0.400785734324707
bv,1.3148040850537759,0.4114343960407571,0.3318919223656286,0.02112295777847445,-0.17446233457823576,1.9833238154839021,0.9509932498664012,2.1244823820543206,-1.8734141356824172,1.2222049652771363,0.20942587574813318,-1.5392519446700499,-0.3828687978379712,1.718077928514875,-0.2463966324926752,0.7497599282045816,-2.0575956853724677,0.28118854389549425,-1.070358010748076,0.48911552878465836,-0.1289439335454356
cv,-0.21644431587793575,1.2660468164823613,-1.1567384025073502,0.8530320010012533,-1.741017043119088,-0.28934684424955315,0.16913096004190098,0.7284078019884307,-0.2221221962727491,2.38130098007842,-1.1283082149528019,1.0698767309535973,0.3643489657754933,0.08989215270622418,-0.23673347007432216,-1.043551459218901,0.017808195296071395,-1.5689105872660418,0.9758149708423212,-0.44765074142857464,-1.5224955113462129
hr,-0.31503990659986475,0.525164427701366,-1.1891975790659286,0.005202509119487483,-0.0631477467634704,0.7122613040406589,-1.0577576060312377,0.5631005721088715,1.5797890726770674,-0.5676886960793621,-0.8176182560537228,0.40249848197341814,-0.9769647932477395,0.5300164958692187,-0.3419688989551843,-0.3330440868401173,-1.1370192816186366,1.3151966888576834,0.2481737507690143,1.3666905437455044,0.07485138956672265
